"SBI_Code","SBI_Omschrijving","SBI_Code_6","SBI_Hoofd_Letter","SBI_Hoofd_Omschrijving"
"612","Draadloze telecommunicatie",612000,"J","Informatie en communicatie"
"6120","Draadloze telecommunicatie",612000,"J","Informatie en communicatie"
"613","Telecommunicatie via satelliet",613000,"J","Informatie en communicatie"
"6130","Telecommunicatie via satelliet",613000,"J","Informatie en communicatie"
"619","Overige telecommunicatie",619000,"J","Informatie en communicatie"
"6190","Overige telecommunicatie",619000,"J","Informatie en communicatie"
"62","Dienstverlenende activiteiten op het gebied van informatietechnologie",620000,"J","Informatie en communicatie"
"620","Dienstverlenende activiteiten op het gebied van informatietechnologie",620000,"J","Informatie en communicatie"
"6201","Ontwikkelen, produceren en uitgeven van software",620100,"J","Informatie en communicatie"
"6202","Advisering op het gebied van informatietechnologie",620200,"J","Informatie en communicatie"
"6203","Beheer van computerfaciliteiten",620300,"J","Informatie en communicatie"
"6209","Overige dienstverlenende activiteiten op het gebied van informatietechnologie",620900,"J","Informatie en communicatie"
"63","Dienstverlenende activiteiten op het gebied van informatie",630000,"J","Informatie en communicatie"
"631","Gegevensverwerking, webhosting en aanverwante activiteiten; webportals",631000,"J","Informatie en communicatie"
"6311","Gegevensverwerking, webhosting en aanverwante activiteiten",631100,"J","Informatie en communicatie"
"6312","Webportals",631200,"J","Informatie en communicatie"
"639","Overige dienstverlenende activiteiten op het gebied van informatie",639000,"J","Informatie en communicatie"
"6391","Persagentschappen",639100,"J","Informatie en communicatie"
"6399","Overige dienstverlenende activiteiten op het gebied van informatie (rest)",639900,"J","Informatie en communicatie"
"64","Financiële instellingen (geen verzekeringen en pensioenfondsen)",640000,"K","Financiële instellingen "
"641","Geldscheppende financiële instellingen",641000,"K","Financiële instellingen "
"6411","Centrale banken",641100,"K","Financiële instellingen "
"6419","Overige geldscheppende financiële instellingen",641900,"K","Financiële instellingen "
"64191","Coöperatief georganiseerde banken",641910,"K","Financiële instellingen "
"64192","Effectenkredietinstellingen",641920,"K","Financiële instellingen "
"64193","Spaarbanken",641930,"K","Financiële instellingen "
"64194","Algemene banken",641940,"K","Financiële instellingen "
"642","Financiële holdings",642000,"K","Financiële instellingen "
"6420","Financiële holdings",642000,"K","Financiële instellingen "
"643","Beleggingsinstellingen",643000,"K","Financiële instellingen "
"6430","Beleggingsinstellingen",643000,"K","Financiële instellingen "
"64301","Beleggingsinstellingen in financiële activa",643010,"K","Financiële instellingen "
"64302","Beleggingsinstellingen in vaste activa",643020,"K","Financiële instellingen "
"64303","Beleggingsinstellingen met beperkte toetreding",643030,"K","Financiële instellingen "
"649","Kredietverstrekking en overige financiële intermediatie",649000,"K","Financiële instellingen "
"6491","Financiële lease",649100,"K","Financiële instellingen "
"6492","Overige kredietverstrekking",649200,"K","Financiële instellingen "
"64921","Hypotheekbanken en bouwfondsen",649210,"K","Financiële instellingen "
"64922","Volkskredietbanken en commerciële financieringsmaatschappijen",649220,"K","Financiële instellingen "
"64923","Participatiemaatschappijen",649230,"K","Financiële instellingen "
"64924","Wisselmakelaars en overige kredietverstrekking",649240,"K","Financiële instellingen "
"6499","Overige financiële intermediatie",649900,"K","Financiële instellingen "
"65","Verzekeringen en pensioenfondsen (geen verplichte sociale verzekeringen)",650000,"K","Financiële instellingen "
"651","Verzekeringen (geen herverzekering)",651000,"K","Financiële instellingen "
"6511","Levensverzekeringen (geen herverzekering), naturaverzekeringen en spaarkassen",651100,"K","Financiële instellingen "
"65111","Levensverzekeringen (geen herverzekering) ",651110,"K","Financiële instellingen "
"65112","Naturaverzekeringen ",651120,"K","Financiële instellingen "
"65113","Spaarkassen",651130,"K","Financiële instellingen "
"6512","Schadeverzekeringen (geen herverzekering)",651200,"K","Financiële instellingen "
"652","Herverzekering",652000,"K","Financiële instellingen "
"6520","Herverzekering",652000,"K","Financiële instellingen "
"653","Pensioenfondsen",653000,"K","Financiële instellingen "
"6530","Pensioenfondsen",653000,"K","Financiële instellingen "
"65301","Bedrijfstakpensioenfondsen",653010,"K","Financiële instellingen "
"65302","Ondernemingspensioenfondsen en -spaarfondsen",653020,"K","Financiële instellingen "
"65303","Beroepspensioenfondsen",653030,"K","Financiële instellingen "
"65309","Overige pensioenfondsen",653090,"K","Financiële instellingen "
"66","Overige financiële dienstverlening",660000,"K","Financiële instellingen "
"661","Financiële bemiddeling, advisering e.d. (niet voor verzekeringen en pensioenfondsen)",661000,"K","Financiële instellingen "
"6611","Beheer van financiële markten",661100,"K","Financiële instellingen "
"6612","Commissionairs en makelaars in effecten, beleggingsadviseurs e.d.",661200,"K","Financiële instellingen "
"6619","Administratiekantoren voor aandelen en obligaties, marketmakers, hypotheek- en kredietbemiddeling, geldwisselkantoren, bank- en spaaragentschappen e.d.",661900,"K","Financiële instellingen "
"66191","Administratiekantoren voor aandelen en obligaties",661910,"K","Financiële instellingen "
"66192","Marketmakers",661920,"K","Financiële instellingen "
"66193","Hypotheek- en kredietbemiddeling, geldwisselkantoren, bank- en spaaragentschappen e.d.",661930,"K","Financiële instellingen "
"662","Dienstverlening op het gebied van verzekeringen en pensioenfondsen",662000,"K","Financiële instellingen "
"6621","Risicoanalisten en schadetaxateurs",662100,"K","Financiële instellingen "
"6622","Assurantietussenpersonen",662200,"K","Financiële instellingen "
"6629","Overige dienstverlening op het gebied van verzekeringen en pensioenfondsen (geen taxateurs en assurantietussenpersonen)",662900,"K","Financiële instellingen "
"66291","Verzekeringsbeurzen",662910,"K","Financiële instellingen "
"66292","Actuariële en pensioenadviesbureaus; beheer en administratie van pensioenvermogens",662920,"K","Financiële instellingen "
"66293","Waarborgfondsen",662930,"K","Financiële instellingen "
"66299","Overige dienstverlening  op het gebied van verzekeringen en pensioenfondsen (rest)",662990,"K","Financiële instellingen "
"663","Vermogensbeheer",663000,"K","Financiële instellingen "
"6630","Vermogensbeheer",663000,"K","Financiële instellingen "
"68","Verhuur van en handel in onroerend goed",680000,"L","Verhuur van en handel in onroerend goed"
"681","Handel in eigen onroerend goed",681000,"L","Verhuur van en handel in onroerend goed"
"6810","Handel in eigen onroerend goed",681000,"L","Verhuur van en handel in onroerend goed"
"682","Verhuur van onroerend goed",682000,"L","Verhuur van en handel in onroerend goed"
"6820","Verhuur van onroerend goed",682000,"L","Verhuur van en handel in onroerend goed"
"68201","Woningbouwverenigingen en -stichtingen",682010,"L","Verhuur van en handel in onroerend goed"
"68202","Gemeentelijke woningbedrijven",682020,"L","Verhuur van en handel in onroerend goed"
"68203","Verhuur van overige woonruimte",682030,"L","Verhuur van en handel in onroerend goed"
"68204","Verhuur van onroerend goed (niet van woonruimte)",682040,"L","Verhuur van en handel in onroerend goed"
"683","Bemiddeling in en beheer van onroerend",683000,"L","Verhuur van en handel in onroerend goed"
"6831","Bemiddeling bij handel, huur of verhuur van onroerend goed",683100,"L","Verhuur van en handel in onroerend goed"
"6832","Beheer van onroerend goed",683200,"L","Verhuur van en handel in onroerend goed"
"69","Rechtskundige dienstverlening, accountancy, belastingadvisering en administratie ",690000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"691","Rechtskundige dienstverlening",691000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"6910","Rechtskundige dienstverlening",691000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"69101","Advocatenkantoren, bewindvoerders en curatoren ",691010,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"69102","Rechtskundige adviesbureaus",691020,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"69103","Notariskantoren",691030,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"69104","Deurwaarderskantoren",691040,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"69105","Octrooibureaus",691050,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"692","Accountancy, belastingadvisering en administratie",692000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"6920","Accountancy, belastingadvisering en administratie",692000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"69201","Registeraccountants",692010,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"69202","Accountants-administratieconsulenten",692020,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"69203","Boekhoudkantoren ",692030,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"69204","Belastingconsulenten",692040,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"69209","Overige administratiekantoren",692090,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"70","Holdings (geen financiële), concerndiensten binnen eigen concern en managementadvisering",7e+05,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"701","Holdings (geen financiële) en concerndiensten binnen eigen concern",701000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"7010","Holdings (geen financiële) en concerndiensten binnen eigen concern",701000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"70101","Concerndiensten binnen eigen concern",701010,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"70102","Holdings (geen financiële)",701020,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"702","Advisering op het gebied van management en bedrijfsvoering",702000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"7021","Public relationsbureaus",702100,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"7022","Advisering op het gebied van management en bedrijfsvoering (geen public relations)",702200,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"70221","Organisatie-adviesbureaus",702210,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"70222","Advisering op het gebied van management en bedrijfsvoering (geen public relations en organisatie-adviesbureaus)",702220,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"71","Architecten, ingenieurs en technisch ontwerp en advies; keuring en controle",710000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"711","Architecten, ingenieurs en technisch ontwerp en advies",711000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"7111","Architecten ",711100,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"71111","Architecten (geen interieurarchitecten)",711110,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"71112","Interieurarchitecten",711120,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"7112","Ingenieurs en overig technisch ontwerp en advies",711200,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"712","Keuring en controle",712000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"7120","Keuring en controle ",712000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"71201","Keuring en controle van agrarische producten en voedingsmiddelen",712010,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"71202","Keuring en controle van machines, apparaten en materialen",712020,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"71203","Overige keuring en controle",712030,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"72","Speur- en ontwikkelingswerk ",720000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"721","Natuurwetenschappelijk speur- en ontwikkelingswerk",721000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"7211","Biotechnologisch speur- en ontwikkelingswerk",721100,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"72111","Biotechnologisch speur- en ontwikkelingswerk op het gebied van agrarische producten en processen",721110,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"72112","Biotechnologisch speur- en ontwikkelingswerk op het gebied van medische producten en farmaceutische processen en van voeding",721120,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"72113","Biotechnologisch speur- en ontwikkelingswerk voor overige toepassingen",721130,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"7219","Natuurwetenschappelijk speur- en ontwikkelingswerk (niet biotechnologisch)",721900,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"72191","Speur- en ontwikkelingswerk op het gebied van landbouw en visserij (niet biotechnologisch)",721910,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"72192","Technisch speur- en ontwikkelingswerk",721920,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"72193","Speur- en ontwikkelingswerk op het gebied van gezondheid en voeding (niet biotechnologisch)",721930,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"72199","Overig natuurwetenschappelijk speur- en ontwikkelingswerk (niet biotechnologisch)",721990,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"722","Speur- en ontwikkelingswerk op het gebied van de maatschappij- en geesteswetenschappen",722000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"7220","Speur- en ontwikkelingswerk op het gebied van de maatschappij- en geesteswetenschappen",722000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"73","Reclame en marktonderzoek",730000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"731","Reclamebureaus en  handel in advertentieruimte en -tijd",731000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"7311","Reclamebureaus",731100,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"7312","Handel in advertentieruimte en -tijd",731200,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"732","Markt- en opinieonderzoekbureaus",732000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"7320","Markt- en opinieonderzoekbureaus",732000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"74","Industrieel ontwerp en vormgeving, fotografie, vertaling en overige consultancy",740000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"741","Industrieel ontwerp en vormgeving",741000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"7410","Industrieel ontwerp en vormgeving",741000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"74101","Communicatie- en grafisch ontwerp",741010,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"74102","Industrieel en productontwerp",741020,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"74103","Interieur- en ruimtelijk ontwerp",741030,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"742","Fotografie en ontwikkelen van foto's en films",742000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"7420","Fotografie en ontwikkelen van foto's en films",742000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"74201","Fotografie",742010,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"74202","Ontwikkelwinkels",742020,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"74203","Ontwikkelcentrales",742030,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"743","Vertalers en tolken",743000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"7430","Vertalers en tolken",743000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"749","Overige specialistische zakelijke dienstverlening",749000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"7490","Overige specialistische zakelijke dienstverlening",749000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"75","Veterinaire dienstverlening",750000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"750","Veterinaire dienstverlening",750000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"7500","Veterinaire dienstverlening",750000,"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening "
"77","Verhuur en lease van auto's, consumentenartikelen, machines en overige roerende goederen",770000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"771","Verhuur en lease van auto's",771000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"7711","Verhuur en lease van personenauto's en lichte bedrijfsauto’s",771100,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"77111","Verhuur van personenauto’s en lichte bedrijfsauto’s (geen operational lease)",771110,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"77112","Operational lease van personenauto’s en lichte bedrijfsauto’s",771120,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"7712","Verhuur en lease van vrachtwagens, autobussen, caravans en aanhangwagens",771200,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"772","Verhuur van consumentenartikelen",772000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"7721","Verhuur van sport- en recreatieartikelen",772100,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"7722","Videotheken",772200,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"7729","Verhuur van overige consumentenartikelen",772900,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"77291","Verhuur van leesportefeuilles",772910,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"77292","Verhuur van kleding en huishoudelijke artikelen",772920,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"77299","Verhuur van overige consumentenartikelen (rest) ",772990,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"773","Verhuur en lease van machines en werktuigen en van overige goederen",773000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"7731","Verhuur en lease van landbouwmachines en ?werktuigen",773100,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"7732","Verhuur en lease van machines en installaties voor de bouw",773200,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"7733","Verhuur en lease van computers en kantoorapparatuur",773300,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"7734","Verhuur en lease van schepen",773400,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"7735","Verhuur en lease van vliegtuigen",773500,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"7739","Verhuur en lease van overige machines en werktuigen en van overige goederen",773900,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"77391","Verhuur van automaten",773910,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"77399","Verhuur en lease van overige machines en werktuigen en van overige  goederen (geen automaten)",773990,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"774","Lease van niet-financiële immateriële activa",774000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"7740","Lease van niet-financiële immateriële activa",774000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"78","Arbeidsbemiddeling, uitzendbureaus en personeelsbeheer",780000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"781","Arbeidsbemiddeling",781000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"7810","Arbeidsbemiddeling",781000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"782","Uitzendbureaus, uitleenbureaus en banenpools",782000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"7820","Uitzendbureaus, uitleenbureaus en banenpools",782000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"78201","Uitzendbureaus ",782010,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"78202","Uitleenbureaus",782020,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"78203","Banenpools (werkgelegenheidsprojecten)",782030,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"783","Payrolling (personeelsbeheer)",783000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"7830","Payrolling (personeelsbeheer)",783000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"79","Reisbemiddeling, reisorganisatie, toeristische informatie en reserveringsbureaus",790000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"791","Reisbemiddeling en reisorganisatie",791000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"7911","Reisbemiddeling",791100,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"7912","Reisorganisatie",791200,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"799","Informatieverstrekking op het gebied van toerisme en reserveringsbureaus",799000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"7990","Informatieverstrekking op het gebied van toerisme en reserveringsbureaus",799000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"80","Beveiliging en opsporing",8e+05,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"801","Particuliere beveiliging ",801000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"8010","Particuliere beveiliging ",801000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"802","Beveiliging via  beveiligingssystemen",802000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"8020","Beveiliging via  beveiligingssystemen",802000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"803","Opsporing",803000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"8030","Opsporing",803000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"81","Facility management, reiniging en landschapsverzorging",810000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"811","Facility management",811000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"8110","Facility management",811000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"812","Reiniging",812000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"8121","Interieurreiniging van gebouwen",812100,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"8122","Gespecialiseerde reiniging van gebouwen en industriële reiniging",812200,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"81221","Glazenwassen",812210,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"81222","Schoorsteenvegen",812220,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"81229","Overige gespecialiseerde reiniging",812290,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"8129","Overige reiniging ",812900,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"813","Landschapsverzorging",813000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"8130","Landschapsverzorging",813000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"82","Overige zakelijke dienstverlening",820000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"821","Brede administratieve en secretariële dienstverlening ",821000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"8211","Brede administratieve dienstverlening ",821100,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"8219","Secretariële dienstverlening ",821900,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"822","Callcenters",822000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"8220","Callcenters",822000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"823","Organiseren van congressen en beurzen",823000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"8230","Organiseren van congressen en beurzen",823000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"829","Overige zakelijke dienstverlening(rest)",829000,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"8291","Kredietinformatie- en incassobureaus",829100,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"8292","Pakken, sorteren e.d. in loon",829200,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"8299","Overige zakelijke dienstverlening (rest)",829900,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"82991","Veilingen van landbouw-, tuinbouw- en visserijproducten",829910,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"82992","Veilingen van huisraad, kunst, antiek, machines e.d. roerende goederen",829920,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"82999","Overige zakelijke dienstverlening (rest) ",829990,"N","Verhuur van roerende goederen en overige zakelijke dienstverlening "
"84","Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen",840000,"O","Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen"
"841","Openbaar bestuur",841000,"O","Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen"
"8411","Algemeen overheidsbestuur",841100,"O","Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen"
"8412","Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",841200,"O","Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen"
"8413","Openbaar bestuur op het gebied van het bedrijfsleven",841300,"O","Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen"
"842","Overheidsdiensten",842000,"O","Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen"
"8421","Buitenlandse zaken",842100,"O","Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen"
"8422","Defensie",842200,"O","Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen"
"8423","Justitie",842300,"O","Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen"
"84231","Rechtspraak",842310,"O","Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen"
"84232","Ministerie van Justitie en gevangeniswezen",842320,"O","Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen"
"8424","Politie",842400,"O","Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen"
"8425","Brandweer",842500,"O","Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen"
"843","Verplichte sociale verzekeringen",843000,"O","Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen"
"8430","Verplichte sociale verzekeringen",843000,"O","Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen"
"85","Onderwijs",850000,"P","Onderwijs "
"852","Primair en speciaal onderwijs",852000,"P","Onderwijs "
"8520","Primair en speciaal onderwijs",852000,"P","Onderwijs "
"85201","Basisonderwijs voor leerplichtigen",852010,"P","Onderwijs "
"85202","Speciaal basisonderwijs",852020,"P","Onderwijs "
"85203","Speciaal onderwijs in expertisecentra",852030,"P","Onderwijs "
"853","Voortgezet onderwijs",853000,"P","Onderwijs "
"8531","Algemeen vormend voortgezet onderwijs",853100,"P","Onderwijs "
"85311","Havo en vwo",853110,"P","Onderwijs "
"85312","Voorbereidend middelbaar beroepsonderwijs",853120,"P","Onderwijs "
"85313","Praktijkonderwijs",853130,"P","Onderwijs "
"85314","Brede scholengemeenschappen voor voortgezet onderwijs",853140,"P","Onderwijs "
"8532","Middelbaar beroepsonderwijs en educatie",853200,"P","Onderwijs "
"85321","Middelbaar beroepsonderwijs",853210,"P","Onderwijs "
"85322","Educatie",853220,"P","Onderwijs "
"85323","Middelbaar beroepsonderwijs en educatie (gecombineerd)",853230,"P","Onderwijs "
"854","Tertiair onderwijs",854000,"P","Onderwijs "
"8541","Niet-universitair hoger onderwijs",854100,"P","Onderwijs "
"8542","Universitair hoger onderwijs",854200,"P","Onderwijs "
"855","Overig onderwijs",855000,"P","Onderwijs "
"8551","Sport- en recreatieonderwijs",855100,"P","Onderwijs "
"85511","Zeil- en surfscholen",855110,"P","Onderwijs "
"85519","Overig sport- en recreatieonderwijs",855190,"P","Onderwijs "
"8552","Cultureel onderwijs ",855200,"P","Onderwijs "
"85521","Dansscholen",855210,"P","Onderwijs "
"85522","Kunstzinnige vorming van amateurs (geen dansscholen)",855220,"P","Onderwijs "
"8553","Auto- en motorrijscholen",855300,"P","Onderwijs "
"8559","Overig onderwijs (rest)",855900,"P","Onderwijs "
"85591","Afstandsonderwijs",855910,"P","Onderwijs "
"85592","Bedrijfsopleiding en -training",855920,"P","Onderwijs "
"85599","Studiebegeleiding, vorming en onderwijs (rest)",855990,"P","Onderwijs "
"856","Dienstverlening voor het onderwijs",856000,"P","Onderwijs "
"8560","Dienstverlening voor het onderwijs",856000,"P","Onderwijs "
"86","Gezondheidszorg",860000,"Q","Gezondheids- en welzijnszorg "
